bug
type bug
crash
type defect
bug bug
impact bug
defect
type confirm bug
bug type bug
not reproduc
bug devic specif
need reproduct
type possibl bug
cat bug
reproduc
bug minor
bug general
third parti bug
render bug
type crash
potenti bug
bug in platform drm
not render bug
is bug
bug critic
bug report
bug pend triag
need reproduc
bug in not releas version
repro need
data corrupt sync failur crash
resolut need repro
bug in platform
app bug
bug layout
eng bug auto found
bug in depend
type not reproduc
issu bug
not reproduc in version
impact crash
resolut not repro
bug product
invalid not reproduc
releas bug
googl play crash report
fatal crash report
bug beetl
bug crash
upstream bug
cnr
minor bug
is miss reproduct
not fatal crash report
not fix not reproduc
status not reproduc
exoplay bug
problem
possibl bug
not fatal marker
need repro
could not reproduc
miss reproduc
bug beta
not reproduc bug
bug upstream
bug new decod
is possibl bug
unabl to reproduc
categori bug
can reproduc
status unreproduc
resolut not reproduc
bug confirm
help to reproduc
can not reproduc
triag test and not reproduc
